episode_id,success,category,distance_to_goal,ndtw,oracle_success,steps,instruction
310,0,STOPPED_WRONG,4.92,0.389,1,423,Walk out of the sauna. Walk by the Jacuzzi. Stop on the Jacuzzi control panel.
100,0,STOPPED_WRONG,4.89,0.471,1,97,"Exit massage room, turn left, go down the steps, walk to the pool, climb up to steps and stop beside the plants."
341,0,STOPPED_WRONG,4.85,0.169,1,106,Take a right after the pool table and take your first left and walk into the room and wait in between the two rooms.
1300,0,STOPPED_WRONG,4.83,0.526,1,68,Go through the door closest to you and into the next room.  Walk down the length of the room on the red carpet and stop in the next doorway at the end of this room.
1432,0,STOPPED_WRONG,4.67,0.445,1,83,Walk past the couch and left through the room into the hallway. Walk past the microwave out of the room and stop.
117,0,STOPPED_WRONG,4.65,0.673,1,310,Walk from closet into bedroom. Turn left into bathroom. Wait on bathroom mat.
628,0,STOPPED_WRONG,4.6,0.693,1,59,"Pass the clock on your right, and keep walking straight. Make a right turn at the first right corner. Make another right at the next right corner that has a white cabinet on its right. Stop inside the room."
379,0,STOPPED_WRONG,4.6,0.404,1,166,"Leave bedroom and enter hall, go straight down hall to kitchen. Stop at counter."
1381,0,STOPPED_WRONG,4.56,0.808,1,54,"Turn around and walk towards the large clock. Once you reach the clock, turn left and enter the bedroom. Walk straight across the bedroom and into the small door in front of you. Stop once you enter the closet."
303,0,STOPPED_WRONG,4.51,0.766,1,62,Walk down the hallway and take a left. At the end of the hallway take a left and a right at the next hall and enter the bedroom on your left.
1141,0,STOPPED_WRONG,4.39,0.69,1,52,"walk  through the doorway on the right side of the bed, walk straight past decorative cabinet on your left, continue through doorway and stop on hardwood floor."
155,0,STOPPED_WRONG,4.35,0.811,1,81,"TURN SLIGHTLY TO THE RIGHT AND WALK THROUGH THE DOOR TOWARDS THE BUTLERS PANTRY, WALK FORWARD INTO THE KITCHEN, AT THE END OF THE KITCHEN COUNTER TURN LEFT TOWARDS THE HALL,  WALK FORWARD THROUGH THE OPEN DOOR TO THE SINK."
1142,0,STOPPED_WRONG,4.33,0.698,1,82,Turn left to face bed. Walk past bed and out of door. Walk across hall to next bedroom. Stop in doorway.
1691,0,STOPPED_WRONG,4.31,0.243,1,93,"Walk forward, then turn left immediately after the kitchen counter.  Continue straight through the kitchen until you reach the second sink.  Wait here."
1335,0,STOPPED_WRONG,4.29,0.816,1,66,"Walk past the shelves and through the kitchen. Turn left after the kitchen and enter the doorway to the left of the squiggle painting. Stop before the sink, next to the towels."
1526,0,STOPPED_WRONG,4.29,0.172,1,212,Exit the room. Turn right and then Turn left. Pass the kitchen and turn right. Wait near the large table with the chairs.
797,0,STOPPED_WRONG,4.27,0.824,1,54,Exit the bedroom then go straight until you get to an arch. Go right on the arch and wait in that hallway.
1128,0,STOPPED_WRONG,4.18,0.761,1,434,Go up the stairs. Take a left at the top of the stairs. Go into the bedroom on the left. Stop in the doorway.
1652,0,STOPPED_WRONG,4.17,0.604,1,86,Face the wall with the large painting and four chairs.  Walk to the right of the chairs though the open door. Walk straight through the room and stop in the doorway.
1089,0,STOPPED_WRONG,4.16,0.508,1,46,"With the grill/oven on your left, walk straight through to the room with the microwaves.  Walk straight through this room and out the door on the other side.  Stop after stepping through the door at the end."
546,0,STOPPED_WRONG,4.09,0.699,1,40,"Turn right, and then make a right again entering the room that is on the right of the painting placed on the wall. Walk inside the room, and stop next to the mirror sliding closet doors."
1339,0,STOPPED_WRONG,4.03,0.628,1,47,"Turn around and walk through the small archway, turn hard right, then stop and wait in the hallway."
909,0,STOPPED_WRONG,4.03,0.756,1,70,"Go through the pillars, make a left go through the doorway, make another left towards the stairs, make a right passed the stairs on your right into the doorway and wait."
265,0,STOPPED_WRONG,3.93,0.632,1,61,Walk towards oven and turn right through doorway. Go down hallway and turn left  and wait at bathroom.
1682,0,STOPPED_WRONG,3.91,0.28,1,142,Walk toward the kitchen counter and turn left. Walk into the kitchen past the stove and refrigerator and stop in front of the sink.
1274,0,STOPPED_WRONG,3.85,0.662,1,53,"Go upstairs and stop in the sitting area, near the end table."
222,0,STOPPED_WRONG,3.84,0.759,1,71,Walk towards the door that leads to outside and then turn left before the door. Go up the staircase straight ahead. At the top of the stairs go into the weight room and wait there.
1031,0,STOPPED_WRONG,3.82,0.43,1,43,Descend down the stairs. Turn left and stop in the room.
1032,0,STOPPED_WRONG,3.82,0.43,1,43,"Go down the stairs, Turn left and enter the room. Wait near the chairs that are facing the fireplace."
1382,0,STOPPED_WRONG,3.81,0.811,1,50,Walk toward the cock and go left past the mirror. Walk to the left of the bed and into the closet and stop.
1383,0,STOPPED_WRONG,3.81,0.811,1,50,Through hallway toward clock on the wall. Turn left at the mirror. Enter bedroom. Walk straight through the bedroom stopping just inside of walk-in closest.
516,0,STOPPED_WRONG,3.69,0.821,1,59,"Walk past the sink, and through the open door. Make a hard left at the closed brown and frosted glass french doors, and then a hard right.. Walk past the kitchen, and wait near the sofa end table."
1226,0,STOPPED_WRONG,3.67,0.682,1,74,"With the red ropes to your right, walk down the room on the red carpet past the display.  Turn left when another red carpet meets the one you are on in a right angle.  Stop on the carpet where these two directions of carpet meet."
159,0,STOPPED_WRONG,3.67,0.624,1,61,"Walk  forward through the middle archway looking down a hallway, and stop."
21,0,STOPPED_WRONG,3.67,0.608,1,80,"Head diagonally through the kitchen, stop at the edge of the kitchen table, turn left and stop in the middle of the room near a vase on the floor."
1573,0,STOPPED_WRONG,3.63,0.634,1,59,Walk towards the stairs. Stop in the middle of the tile mosaic in this room.
792,0,STOPPED_WRONG,3.53,0.821,1,500,Walk into the bedroom and turn right. Walk out of the bedroom and to the top of the stairs. Step to the third step down and stop.
344,0,STOPPED_WRONG,3.53,0.603,1,500,With the desk on your left walk forward and out of this room. In the next room stop on the red rug just outside of the doorway you just left.
1198,0,STOPPED_WRONG,3.49,0.798,1,37,Walk straight into the hallway. Turn right and go into the room. Wait near the door on the left.
1199,0,STOPPED_WRONG,3.49,0.798,1,37,Walk past the kitchen and enter the hallway.  Turn right  at the artwork and wait by the closet.
544,0,STOPPED_WRONG,3.46,0.759,1,37,take a right then a let. stop next to the last door of the hallway.
342,0,STOPPED_WRONG,3.29,0.455,1,83,Walk past the pool table and walk into the room with the fireplace. With the fireplace on your right walk down the walkway and stop at the end before you enter the next room.
962,0,STOPPED_WRONG,3.27,0.48,1,126,Exit the room then go straight until you pass the room on the left then turn left and go into the room and wait by the sink.
102,0,STOPPED_WRONG,3.26,0.844,1,49,"leave massage room, turn left, head down the stairs into lobby area, move forward until you stop at edge of spa."
910,0,STOPPED_WRONG,3.25,0.861,1,54,"Keeping the hanging wall mirror on your right, proceed onward up the hall until you reach another hallway on your left, go down that left hallway. You will know you are on the correct path if you see a framed photo of letters on the right wall. Continue moving forward until you pass the room on the left with the sink. Pivot to your right and travel in a forward direction down across the tile and then take a step onto the carpet in front of you. Stand on that carpet and wait for further instructions."
873,0,STOPPED_WRONG,3.22,0.796,1,92,Leave the room you are in by using the door nearest to you. Continue walking straight until the end of the next room. Leave this room. Walk forward until you are standing in front of the black door on the right.
1091,0,STOPPED_WRONG,3.21,0.799,1,48,Turn around and go up the stairs. Turn right and stop just passed the bottom of the stairs with carpet.
79,0,STOPPED_WRONG,3.21,0.795,1,49,Exit the bathroom and walk down the hall to the second doorway on your left.  Turn left and enter the room through that doorway.
81,0,STOPPED_WRONG,3.21,0.795,1,49,Leave the bathroom and walk straight into the hallway. Go straight and enter the office in the second door on your left.
1499,0,STOPPED_WRONG,3.2,0.707,1,74,Walk out of the bathroom and turn right. Walk into the kitchen and turn left. Stop in front of the second set of double doors on the left.
1711,0,STOPPED_WRONG,3.19,0.729,1,45,"Go ahead a bit and turn left, going down the hallway. Turn left and stop after getting inside the study."
788,0,STOPPED_WRONG,3.19,0.851,1,48,Exit the room and head into the adjacent room across the hall. Go stand next to the horned animal's head.
1056,0,STOPPED_WRONG,3.18,0.82,1,43,walk forward near the pool and make a right turn and stop at the doorway.
1203,0,STOPPED_WRONG,3.16,0.58,1,245,Turn to your left and walk to the black chair alone at the wall and turn left. Then turn right to walk down the hallway. Walk into the first room on your left and stop behind the first chair.
1553,0,STOPPED_WRONG,3.14,0.638,1,42,Walk up the steps and turn left.  Wait by the wooden pillar next to the stairs.
1092,0,STOPPED_WRONG,3.07,0.776,1,38,Turn to face black door. Walk forward. Turn right to walk past stairs. Stop in front of door on right.
273,0,STOPPED_WRONG,3.06,0.718,1,68,"Continue down the stairs.  You'll see a big starburst tile on the floor, turn right and go into the first doorway on the right.  There will be a big mirror in the room.  You'll stop and wait just inside this room."
820,0,STOPPED_WRONG,3.05,0.842,1,49,"Exit the bedroom, and walk forward. Turn left at the corner, and make another left inside the room that has the big black alphabet frame on the wall in the outside. Enter the room and stop there."
640,0,STOPPED_WRONG,3.01,0.854,1,39,Head past the bar along the side of the pool.  Turn right and stop inside of the sauna.
641,0,STOPPED_WRONG,3.01,0.854,1,39,"You should walk past the bar and to the pool. Across from the pool there is a doorway, go through that doorway and wait."
1474,0,STOPPED_WRONG,2.79,0.008,1,500,"Make a right and exit living area, walk past living area, and kitchen, make a right toward outside patio and wait."
886,0,STOPPED_WRONG,2.75,0.815,1,500,Walk forward toward the stairs. Enter the living area on the right. Wait there.
530,0,STOPPED_WRONG,2.71,0.818,1,500,Exit the bedroom. Start down the stairs and stop three steps down.
855,0,STOPPED_WRONG,2.49,0.84,1,500,Leave the shower and turn left. Exit the bathroom and go through the closet to the bedroom. Turn left and and go to   the door. Turn left and exit the bedroom. Wait at the top of the stairs.
461,0,STOPPED_WRONG,2.36,0.863,1,500,"Turn around and walk past a wooden cabinet on the right.  Then turn to the right and walk in the bedroom.  Turn to the right again, and there will be a bathroom.  Stop right inside the doorway.  Wait there."
790,0,STOPPED_WRONG,2.28,0.853,1,500,Exit the bathroom and turn right to walk out of the bedroom.  Walk to the top of the stairs and stop on the third step down.
331,0,STOPPED_WRONG,2.26,0.922,1,500,Walk through the hall ahead past the glass door and the painting on the wall. Walk through the door near the painting and into the next hallway. Walk around the banister rails to the staircase. Walk down the first few stairs.
650,0,STOPPED_WRONG,2.14,0.88,1,500,Walk to the other end of the room. Wait in the archway in front of the podium.
651,0,STOPPED_WRONG,2.14,0.88,1,500,Go to exit of writing room. Stop between pillars.
729,0,STOPPED_WRONG,2.06,0.87,1,500,Walk up the stairs and into the first doorway on your right. Stop just inside the doorway.
528,0,STOPPED_WRONG,2.03,0.902,1,500,Leave bedroom to stairs leading down. Stop at top of stairs in front of bed.
1193,0,STOPPED_WRONG,1.77,0.855,1,500,"Walk forward, following the red carpet into the next room. Wait just inside that room."
1820,0,STOPPED_WRONG,1.77,0.782,1,500,Turn left and walk down the red carpet until you enter the next room. Wait there.
1037,0,STOPPED_WRONG,1.58,0.916,1,500,Turn left and walk out the doorway to the right of the large black cabinet. Once out turn left to go down the stairs. Stop on the 2nd step from the stop.
1081,0,STOPPED_WRONG,1.51,0.921,1,500,"Exit the bathroom and go into the bedroom. Exit the bedroom. Start down the stairs, Stop three steps down."
661,0,STOPPED_WRONG,0.44,0.745,1,500,"Exit the room by the smaller of the two doorways.  Turn right and go down the stairs.  At the landing, turn right, and go half way down the second flight of stairs.  Stop there."
724,0,STOPPED_WRONG,0.4,0.967,1,500,Go down the hallway and go to the back door.
726,0,STOPPED_WRONG,0.4,0.967,1,500,Head down the hallway and down the stairs. Then go out the door to go outside and wait there.
618,0,STOPPED_WRONG,0.4,0.954,1,500,"Travel up the stairs on right past the fridge, move down the hallway until the bottom on the stairwell, take a right towards the bathroom and wait just beyond the stairs."
874,0,LOST_EARLY,48.89,0.0,0,471,"Go right to the other side of the last chair turn to the left of you., then turn left and keep going through the archway to the middle back of the couch, and turn right and stop in the exercise room."
607,0,LOST_EARLY,48.37,0.0,0,307,Leave the kitchen through the door to the left of the stove. Enter the fitness room on the right and stop at the end of the treadmill.
1093,0,LOST_EARLY,40.99,0.0,0,153,"Go through closest doorway. Walk towards tub, then go into room with toilet."
578,0,LOST_EARLY,40.6,0.0,0,201,"Go down hallway towards the two white vases. When you have a staircase towards your right, turn left towards the dining room. Go past bar lined with chairs and wait in front of the long dining room table."
1106,0,LOST_EARLY,38.48,0.0,0,148,"Turn right into hall, walk straight into the kitchen, stop at refrigerator."
421,0,LOST_EARLY,38.38,0.0,0,224,"Walk past the piano to the oval door opening, walk straight ahead to the bathtub, stop right in front of bathtub."
191,0,LOST_EARLY,35.35,0.0,0,500,"Leave sitting room to living room, turn right around couch, turn left and follow couch turn slight right into exercise room and stop by treadmill."
609,0,LOST_EARLY,34.76,0.0,0,370,"Exit the kitchen, walk down the hall and wait in the exercise room."
1027,0,LOST_EARLY,34.55,0.0,0,130,Walk past the large urn on a pedestal to the right. Walk through the doorway under the green and white exit sign.Wait at the red rope stanchion to the left.
494,0,LOST_EARLY,34.43,0.0,0,131,Facing the mirror walk into the bedroom ahead and through the room into the bathroom through the door on the right. Stop in front of the first sink.
577,0,LOST_EARLY,34.4,0.0,0,500,"Turn, putting the exit of the building  on your left. Walk to the end of the entrance way and turn left. Travel across the kitchen area with the counter and chairs on your right. Continue straight until you reach the dining room. Enter the room and stop and wait one meter from the closest end of the long dining table."
575,0,LOST_EARLY,34.33,0.0,0,500,Follow red carpet to open door on left. Continue through next room into big hall. Stop at checkered floor.
1208,0,LOST_EARLY,33.42,0.0,0,127,"Walk down hall, at the end of the hall turn right into butler's pantry."
689,0,LOST_EARLY,32.56,0.147,0,500,Go to the wooden stairs. Go up the stairs and go between the couch and the table. Walk into the house through the sliding glass door. Go to the television. Go to the refrigerator. Go to the front of the toaster and stop.
1288,0,LOST_EARLY,32.41,0.0,0,351,Go into the arch and walk straight down the hallway until you get to the last door on the left. Go into the laundry room on the left and wait near the washer and dryer.
1107,0,LOST_EARLY,31.58,0.0,0,500,Turn right and go down the hallway then turn left.Pass the chair on the left and turn right into the kitchen. Wait near the fridge.
175,0,LOST_EARLY,31.57,0.0,0,118,"Go to the right past the shelf with the vase, through the arched door towards the sink, through the next door, and into the excersise room, and wait."
176,0,LOST_EARLY,31.25,0.0,0,158,Go straight and then turn to the right and go to the bathroom door.  Go through the doorway and walk through the bathroom to the other door.  You will then be in a gym.  Stop when you get into this room and wait.
1131,0,LOST_EARLY,30.98,0.0,0,179,Walk forward into the kitchen. Continue through the kitchen and exit into the living room. Stop next to the table behind the sofa.
1651,0,LOST_EARLY,30.76,0.001,0,93,"Go into the doorway to the right of the big painting, go straight down the hallway into the double doorway and stop."
574,0,LOST_EARLY,30.71,0.0,0,85,"Follow the pink carpet out of the room you are in, and through the next room.  Exit the doorway of the next room and stop."
1700,0,LOST_EARLY,29.92,0.0,0,500,"With the thermostat towards your right and the doors leading outside in front of you, enter the corridor and turn right, Continue forward and turn left when you reach the first intersection. Pass by the kitchen to your right and continue down the corridor until you reach the dining room. Stop once you reach the carpet on the wooden floor."
1699,0,LOST_EARLY,29.73,0.0,0,460,"Walk through the hallway to the right of the four glass doors. Walk straight, and bare left and walk past the kitchen. Walk straight past the kitchen towards the dining room, and stop right when you hit the carpet."
397,0,LOST_EARLY,29.38,0.0,0,500,Turn completely around. Walk straight ahead through the doorway that is next to the giant urn.
179,0,LOST_EARLY,29.27,0.0,0,131,Walk through the arched entry way that leads into the tiled room with a mosaic floor. Walk through the arched entry way to the left of the stairs. Continue down the tiled hall through the open door ahead into the bedroom with red bedsrpread.
664,0,LOST_EARLY,29.22,0.012,0,141,Exit the sitting room and make a right. Walk past the urns on the floor. Make a hard right just after the stairs. Walk past the four photos of flowers on the right. Walk through the open door. Wait on the area rug.
872,0,LOST_EARLY,29.2,0.0,0,500,Walk through the open double doors into a room with a dining table.  Walk straight ahead to the next set of double doors.  Stop right next to the metal thing on the wall.
50,0,LOST_EARLY,29.15,0.003,0,187,Turn left and then turn right. Turn left and walk into the bedroom and wait there.
1563,0,LOST_EARLY,28.6,0.0,0,100,"Walk in the direction of the table at the end of the hall, and take a left. Walk into the office. Stop once you pass the doors."
238,0,LOST_EARLY,28.45,0.012,0,74,Walk down the hall towards the living room and pass the living room. Go straight passing the kitchen and stop next to the console table in the hall.
1098,0,LOST_EARLY,28.11,0.005,0,83,"Walk all the way forward passing all the picture frames on the wall on your left. Enter the corner on your left with the arch layout, and stop there."
326,0,LOST_EARLY,27.42,0.001,0,253,Walk forward into the dining room and through the door at the far right. Walk between the two couches and past the fireplace on the left. Go through the double glass doors and wait near the couch.
579,0,LOST_EARLY,27.05,0.024,0,67,"Walk past the two urns and turn left. Walk to the entrance of the dining room, straight ahead, and stop under the arch."
1497,0,LOST_EARLY,26.71,0.012,0,77,"walk forward and turn left, walk past the table, then wait near the doorway."
645,0,LOST_EARLY,26.33,0.0,0,130,"At the bottom of the stairs, go through the nearest archway to your left. Head straight until you enter the room with a pool table. Step slightly to the left to get out of the way."
1161,0,LOST_EARLY,26.19,0.017,0,73,Go to the rug in front of the outside doorway. Go to the dining room table. Go to the right of the fireplace. Go through the door.
391,0,LOST_EARLY,25.98,0.004,0,95,Walk into the dining room and go back to the door across the room. Go through the door and wait.
1787,0,LOST_EARLY,25.84,0.004,0,84,"Go through the doorway on your right, and go straight to stop just past the doorway with paintings on either side."
860,0,LOST_EARLY,25.44,0.004,0,69,Stand in the doorway between the living area and the large silver grill in the kitchen area.
859,0,LOST_EARLY,25.36,0.005,0,69,Locate the large painting above the teapot. Go through the door to the right of it. Pass the white couch and go through the door to the right of the fireplace. Travel to the brown couch with the pillow.
944,0,LOST_EARLY,25.23,0.005,0,285,"Walk forward down the hall, and take a left at the hall. Enter the bedroom at the end of the hall and stop once you are on the rug next to the bed."
904,0,LOST_EARLY,25.2,0.056,0,98,"Leave the room through an entryway next to the painting of a man with a white wig and go down the hall with a long row of paintings, and wait at the entry to another room on the other end."
1838,0,LOST_EARLY,24.91,0.04,0,500,"Walk toward the sign that says ""Viaggio in oriente"". Turn right before it, where the red path splits. Follow the path straight and stop in the first doorway."
220,0,LOST_EARLY,24.9,0.0,0,500,"Start in the middle of the large room head towards the door that leads to the outside, turn left and head up the stairs, take a hard left, stop when you are inside the workout room."
1105,0,LOST_EARLY,24.79,0.0,0,145,"Turn right, and walk a bit, and turn left. Walk towards the black chairs, and turn right. Stop in front of the refrigerator."
669,0,LOST_EARLY,24.75,0.018,0,500,"Walk down the hallway and pass all the picture frames placed on the right until the end. Turn left to enter another room, and stop there."
1455,0,LOST_EARLY,24.6,0.0,0,500,Walk into the hall and turn right. Walk through the entryway on the left and across the atrium. Walk up to the tenth step and stop.
1345,0,LOST_EARLY,24.43,0.013,0,69,Go to the pottery. Go to the bar. Go to the microwave.
1223,0,LOST_EARLY,24.34,0.005,0,500,Walk straight until you get to a porch. Go up the steps of the porch and into the house using the glass double doors. Wait near the tv.
1395,0,LOST_EARLY,24.08,0.0,0,319,Walk straight until you get to a room on the right. Turn into that room. Turn left and then right to go past the table and chairs. Turn left toward the couches then turn right into the room with the pool table. Wait there.
398,0,LOST_EARLY,24.01,0.006,0,67,"Walk until you reach the brown dresser with the vase on top of it, turn righ, take a left  and walk through the first doorway, stop immediatly after the doorway."
262,0,LOST_EARLY,23.73,0.001,0,213,Leave the bedroom and take a right in the hallway Go down the hall and enter the bathroom first on your left. Stop in the doorway to the bathroom.
1731,0,LOST_EARLY,23.28,0.001,0,171,Go straight and out the room. Turn right and go straight. Pass the bar with the stools/chairs and the couches. Continue straight until you get to a round table and chairs.
1160,0,LOST_EARLY,23.24,0.002,0,106,"Walk forward with the entryway to outside on your left. Go through the far door in this room (the back right corner), and then through the far double wooden doors in the next room. Stop after going through these doors."
1494,0,LOST_EARLY,23.24,0.002,0,85,Stand with the bed behind you and walk straight down the red carpet.  Go into the room with the tile floor and stop after a few steps closer to the middle of the room.
538,0,LOST_EARLY,23.23,0.001,0,90,"With the doll display case on your right, go through the arched opening into the bedroom and then continue forward until you can enter the bathroom towards your left."
1821,0,LOST_EARLY,23.17,0.006,0,195,"Walk forward through the doorway, stop and wait in the hall."
